merchant_id,merchant_type,dominant_category,cluster_id,cluster_name,operational_archetype
BAK001,Bakery,Cakes,1,"High-Volume, Predictable Surplus","Highest daily output and absolute surplus volume. Waste ratio is highest (17.8%). Consistent, predictable surplus pattern across weekdays. Weekend spike is minimal. Cold-start prediction: category benchmark is strong prior."
BAK002,Bakery,Cookies,1,"High-Volume, Predictable Surplus","Highest daily output and absolute surplus volume. Waste ratio is highest (17.8%). Consistent, predictable surplus pattern across weekdays. Weekend spike is minimal. Cold-start prediction: category benchmark is strong prior."
BAK003,Bakery,Pastries,1,"High-Volume, Predictable Surplus","Highest daily output and absolute surplus volume. Waste ratio is highest (17.8%). Consistent, predictable surplus pattern across weekdays. Weekend spike is minimal. Cold-start prediction: category benchmark is strong prior."
BAK004,Bakery,Pastries,1,"High-Volume, Predictable Surplus","Highest daily output and absolute surplus volume. Waste ratio is highest (17.8%). Consistent, predictable surplus pattern across weekdays. Weekend spike is minimal. Cold-start prediction: category benchmark is strong prior."
BAK005,Bakery,Tarts,1,"High-Volume, Predictable Surplus","Highest daily output and absolute surplus volume. Waste ratio is highest (17.8%). Consistent, predictable surplus pattern across weekdays. Weekend spike is minimal. Cold-start prediction: category benchmark is strong prior."
CAF001,Café,Desserts,0,"Weekend-Surge, Lean Operations",Low daily output but waste ratio is lowest. Strong weekend demand surge (+21%). Short shelf-life products need fast turnover. Cold-start prediction: use category benchmarks + weekend adjustment.
CAF002,Café,Coffee & Beverages,0,"Weekend-Surge, Lean Operations",Low daily output but waste ratio is lowest. Strong weekend demand surge (+21%). Short shelf-life products need fast turnover. Cold-start prediction: use category benchmarks + weekend adjustment.
CAF003,Café,Pastries,0,"Weekend-Surge, Lean Operations",Low daily output but waste ratio is lowest. Strong weekend demand surge (+21%). Short shelf-life products need fast turnover. Cold-start prediction: use category benchmarks + weekend adjustment.
CAF004,Café,Pastries,0,"Weekend-Surge, Lean Operations",Low daily output but waste ratio is lowest. Strong weekend demand surge (+21%). Short shelf-life products need fast turnover. Cold-start prediction: use category benchmarks + weekend adjustment.
CAF005,Café,Desserts,0,"Weekend-Surge, Lean Operations",Low daily output but waste ratio is lowest. Strong weekend demand surge (+21%). Short shelf-life products need fast turnover. Cold-start prediction: use category benchmarks + weekend adjustment.
FNB001,Small F&B,Bento Sets,2,"Mid-Volume, Fast-Paced Perishable",Medium output and surplus. SHORTEST shelf life (16.5h) is the discriminating factor — products move fast or spoil fast. Moderate weekend surge. Cold-start prediction: shelf-life-adjusted category benchmark.
FNB002,Small F&B,Desserts,2,"Mid-Volume, Fast-Paced Perishable",Medium output and surplus. SHORTEST shelf life (16.5h) is the discriminating factor — products move fast or spoil fast. Moderate weekend surge. Cold-start prediction: shelf-life-adjusted category benchmark.
FNB003,Small F&B,Soup & Sides,2,"Mid-Volume, Fast-Paced Perishable",Medium output and surplus. SHORTEST shelf life (16.5h) is the discriminating factor — products move fast or spoil fast. Moderate weekend surge. Cold-start prediction: shelf-life-adjusted category benchmark.
FNB004,Small F&B,Noodle Dishes,2,"Mid-Volume, Fast-Paced Perishable",Medium output and surplus. SHORTEST shelf life (16.5h) is the discriminating factor — products move fast or spoil fast. Moderate weekend surge. Cold-start prediction: shelf-life-adjusted category benchmark.
FNB005,Small F&B,Desserts,2,"Mid-Volume, Fast-Paced Perishable",Medium output and surplus. SHORTEST shelf life (16.5h) is the discriminating factor — products move fast or spoil fast. Moderate weekend surge. Cold-start prediction: shelf-life-adjusted category benchmark.
