param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,mean_test_score,std_test_score,rank_test_score
250,13,0.29519271085950444,1,0.6163100566219055,0.9212559025519583,2.351503172230192,0.6415601299434717,0.9325925519992712,1.1549762606620788,0.9124950352738016,1
100,5,0.18180022496999232,5,0.6053059844639466,0.6798695128633439,2.571172192068058,1.3606150771755594,2.2524962598477147,1.1920398116111754,1.1087896096393668,2
131,18,0.10434579592134664,13,0.9861021229056552,0.6783931449676581,0.22613644455269033,1.0793842647781595,2.9337558283192413,1.1978919506072998,1.072477930509886,3
234,15,0.2796123191793462,14,0.6873761748867334,0.7159005811655073,0.8061064362700221,0.21098851966054122,2.282672852414551,1.2050841569900512,0.9085059640427975,4
117,8,0.16397102916196954,7,0.6968639753109703,0.8537405378805455,3.403527257773834,0.1617066526654305,1.8482722803070222,1.2140444099903107,1.0625114231480393,5
138,15,0.09591931665418388,1,0.679486272613669,0.8428136990746738,1.3799959101127168,1.9737738732010346,3.861223846483287,1.2147809326648713,1.063483411417465,6
214,11,0.057750197411453104,14,0.6976502088991097,0.7410275425336676,1.523906290790145,1.3848720657805407,1.3470616689926074,1.215405136346817,1.1357696326651172,7
142,5,0.03942674743114931,9,0.7942455014344907,0.842571623863836,0.04598525808314824,0.5678419494749314,1.5268193017219671,1.2418895065784454,1.1340035897794258,8
290,19,0.17184958058502894,14,0.8785217091359153,0.6673164168691722,1.093821097865351,0.5078308278686894,1.234380314193006,1.244179791212082,1.092550103970998,9
165,3,0.25833404464464677,8,0.9594216754108317,0.8801431319891084,4.233305711191529,0.16827992999009767,0.8081435704730688,1.2446030497550964,1.0391326936040368,10
192,9,0.05040612177770395,13,0.6307919639315172,0.8253102287905535,3.4775804321306376,1.5111022770860973,1.1439908274581123,1.2459673941135407,1.23323399625744,11
141,4,0.12177078573657565,4,0.798070764044508,0.9768807022739411,2.8164410892276965,0.8803049874792026,0.6101911742238941,1.2514720022678376,1.1089984756821072,12
254,12,0.1339868953239794,12,0.7901480892728447,0.7975182385457563,2.6136641469099704,0.4034384046707924,4.478817978367597,1.254595112800598,1.1168302130534398,13
274,9,0.10406005609152943,14,0.6002081507981263,0.7666039791481465,4.416401294594341,0.5442644987692706,3.238450602706812,1.258838564157486,1.2388911210275406,14
51,10,0.0850461946640049,4,0.8270801311279966,0.6137554084460873,4.546602010393911,0.8503117489824894,1.039708314340944,1.268146026134491,1.1956768299015703,15
82,5,0.21498862971580895,3,0.8604308102007778,0.602208846849441,4.0773071422741705,1.2119199495620228,4.631504392566745,1.2757869362831116,1.1584374965902837,16
180,17,0.12104879367859904,14,0.9083868719818244,0.7098887171960256,2.806217129238506,1.5215700972337949,2.8063859878474813,1.2808238446712494,1.214549957240939,17
164,14,0.17480949496728676,11,0.8359483390242175,0.9396893641976711,3.2880644615017167,1.2726652363717907,1.2523090930279208,1.28246311545372,1.157931758308925,18
86,14,0.03699980266371077,5,0.7115485410368727,0.8118602313424026,1.2092614545022584,1.7652726863786794,0.9435355417068969,1.287848675251007,1.2172174097736272,19
221,19,0.1758812177706631,1,0.9659457560881795,0.6920741072966221,2.4959668994237614,1.8809171687058286,4.769642885012937,1.2893265724182128,1.1443074127164576,20
191,6,0.061018323276430156,1,0.8598531596188859,0.7793696571944989,4.972287313054103,0.6507993963185355,3.732457025590121,1.290069156885147,1.1879007713993184,21
277,12,0.14042869867723204,14,0.6353970008207678,0.6125253169822235,4.211423872974993,1.1957999576221703,4.609371175115584,1.2902454078197478,1.310641621790675,22
200,3,0.140340695500079,7,0.8365191150830908,0.9659838702175123,4.250192888948996,1.3376825053272146,3.329611783087483,1.2903803884983063,1.2106644807838722,23
237,12,0.01668810326201057,12,0.9140703845572055,0.8446612641953124,0.03533152609858703,0.7327236865873834,2.28034992108518,1.2909187018871306,1.2232298498149665,24
79,4,0.27276864843838067,5,0.9456670260287612,0.9915571433100037,2.4337107647972758,1.2902067240611297,3.3446202983154985,1.2943321406841277,1.139548834506691,25
260,9,0.22227824312530747,10,0.7334834444556088,0.749816047538945,4.75357153204958,0.19994983163600577,2.2962444598293357,1.2975620985031129,1.0971624503693018,26
197,5,0.014810470389078283,3,0.8763750952409863,0.8363571772752967,3.3878218092114123,1.2903455808188997,0.8718321450249572,1.303558349609375,1.2139450376699483,27
179,19,0.29934474066419314,2,0.7380284992106732,0.8849082359697769,0.7404346497669995,0.8220740266364626,0.16525366450274193,1.3059860825538636,1.0868239784655667,28
56,12,0.04988107380233804,3,0.822080324639785,0.7546941385202149,4.6836499436836725,1.319968092068358,4.0861110010060795,1.3411649227142335,1.279883008567771,29
87,14,0.026359357917859073,14,0.8469926038510867,0.6571467271687763,3.254442364744264,0.0015575316820286567,4.961057796456087,1.345776093006134,1.244163576650785,30
